1	1PointFive	1315
1	4IG Space and Defence Technologies Plc	4213
1	A.I.A.D. and MoD Italy	1337
1	A.S. Avionics Services S/A	41124
1	AALTO	4729
1	AAMMC Tech Hub	1351
1	AAR	1223
1	Abrasive Technology Ltd	1221
1	Accenture	C116
1	Accles & Pollock	1320
1	Accrofab	1320
1	Accurus Aerospace Corporation	C604
1	Acevision (Beijing) Exhibition Co., Ltd.	3924, 3925, 4828, 4826, 41536, 4650
1	Achilles Aerospace Products, Inc.	41314
1	Aciturri AeroEngines	2310
1	Acron Aviation	C322
1	Acutec Precision Aerospace	2324
1	Acutronic Turbines Inc.	0785
1	ADS Group Ltd	1120, C413
1	ADS South West	1217
2	ADSE Consulting and Engeering	1353
2	Advanced Design Technology Pty Ltd	3311
2	Advanced Drivetrain Technologies GmbH	3722,3726, 3728
2	Advanced Manufacturing Innovation Centre (AMIC)	1321
2	Advanced Navigation Pty Ltd	3311
2	ADVANTAGE AUSTRIA LONDON	3722,3726, 3728
2	AE Industrial Partners	C306
2	AED Cluster Portugal	1451
2	AERCAL AEROSPACE S.A. (AE-GROUP)	2121
2	AerCap	C213
2	AEREA S.p.A	1441
2	Aereos Defense	3526A
2	AERNNOVA AEROSPACE	1138
2	Aero Fasteners	1341
2	Aero Metals Alliance	1231, C119-120
2	Aero Sekur S.p.A.	1435
2	Aero-Mark	C215
2	Aerocluster de Querétaro	3320
2	Aerocom Metals Limited	1526
2	Aerofina SA	0150
3	AeroFlow Technologies	41320, 41321
3	Aeroforce Logistics, LLC	2523
3	AeroGen-TEK	2040
3	Aeromaoz	4036
3	AEROMASTER Corporation	4838
3	Aeromed Group	2336
3	AEROMETALS & alloys - ACNIS	1360
3	Aeronautical Systems Incorporated	2426
3	Aeronautical University in Querétaro (UNAQ)	3320
3	AeroNL	1353
3	Aeropact Manufacturing LLC.	41314
3	Aeroprobe Corporation	2125
3	AeroSM	2121
3	Aerospace and Specialty Metals Group (ASMG)	41350
3	Aerospace Coatings Ltd	1317
3	Aerospace India Association	41135
3	Aerospace Material Development Consortium	41035
3	Aerospace Technology Institute	1111
3	AeroSpace.NRW	4150
3	AEROSTAR SA	0150
4	AeroTEC	1351
4	AEROTECNIC	2121
4	Aerotree Defense & Services Sdn. Bhd.	0190
4	Aerotron Composites Ltd	1320
4	AeroVironment Inc	2125
4	Aery Aviation	2125
4	AFC Europe	1033
4	Agence wallonne à l’Exportation et aux Investissements étrangers	1058, 1157
4	Agenzia Spaziale Italiana (ASI)	4103
4	AHG	1360
4	AIP Precision Machining	3521C
4	AIQ - Aeropuerto Internacional de Querétaro	3320
4	Air and Marine Products Ltd	1550
4	Air Cost Control	4540
4	Air Shunt Instruments, Inc.	2338
4	AIRBUS	4105, E009, E010, E028
4	Aircraft Component Repair Inc. (ACR)	2338
4	Aircraft Extrusion Company	2338
4	Aircraft Lighting Intl	3944
4	Aircraft Materials UK	4831
5	Airtech Advanced Materials Group	1310
5	AIRTIFICIAL AEROSPACE & DEFENSE	2121
5	AJ Products (UK) Ltd	1317
5	ALA	1350
5	Alabama Department of Commerce""	3340
5	Albany Engineered Composites	3330, C604
5	Alberta Aviation, Aerospace & Defence	4623
5	Alfor Aviation	C129
5	ALGRA S.p.A	1437
